2024-04-16 02:02:51 status unpacked base-files:amd64 12ubuntu4
2024-04-16 02:02:51 upgrade base-passwd:amd64 3.5.52build1 3.5.52build1
2024-04-16 02:02:51 status half-configured base-passwd:amd64 3.5.52build1
2024-04-16 02:02:51 status unpacked base-passwd:amd64 3.5.52build1
2024-04-16 02:02:51 status half-installed base-passwd:amd64 3.5.52build1
2024-04-16 02:02:51 status unpacked base-passwd:amd64 3.5.52build1
2024-04-16 02:02:51 install bash:amd64 <none> 5.1-6ubuntu1
2024-04-16 02:02:51 status half-installed bash:amd64 5.1-6ubuntu1
2024-04-16 02:02:51 status unpacked bash:amd64 5.1-6ubuntu1
2024-04-16 02:02:51 install bsdutils:amd64 <none> 1:2.37.2-4ubuntu3
2024-04-16 02:02:51 status half-installed bsdutils:amd64 1:2.37.2-4ubuntu3
2024-04-16 02:02:51 status unpacked bsdutils:amd64 1:2.37.2-4ubuntu3
2024-04-16 02:02:52 install coreutils:amd64 <none> 8.32-4.1ubuntu1
2024-04-16 02:02:52 status half-installed coreutils:amd64 8.32-4.1ubuntu1
2024-04-16 02:02:52 status unpacked coreutils:amd64 8.32-4.1ubuntu1
2024-04-16 02:02:52 install dash:amd64 <none> 0.5.11+git20210903+057cd650a4ed-3build1
2024-04-16 02:02:52 status half-installed dash:amd64 0.5.11+git20210903+057cd650a4ed-3build1
2024-04-16 02:02:52 status unpacked dash:amd64 0.5.11+git20210903+057cd650a4ed-3build1
2024-04-16 02:02:52 install debconf:all <none> 1.5.79ubuntu1
2024-04-16 02:02:52 status half-installed debconf:all 1.5.79ubuntu1
2024-04-16 02:02:52 status unpacked debconf:all 1.5.79ubuntu1
2024-04-16 02:02:52 install debianutils:amd64 <none> 5.5-1ubuntu2
2024-04-16 02:02:52 status half-installed debianutils:amd64 5.5-1ubuntu2
2024-04-16 02:02:52 status unpacked debianutils:amd64 5.5-1ubuntu2
2024-04-16 02:02:52 install diffutils:amd64 <none> 1:3.8-0ubuntu2
2024-04-16 02:02:52 status half-installed diffutils:amd64 1:3.8-0ubuntu2
2024-04-16 02:02:52 status unpacked diffutils:amd64 1:3.8-0ubuntu2
2024-04-16 02:02:52 upgrade dpkg:amd64 1.21.1ubuntu2 1.21.1ubuntu2
2024-04-16 02:02:52 status half-configured dpkg:amd64 1.21.1ubuntu2
2024-04-16 02:02:52 status unpacked dpkg:amd64 1.21.1ubuntu2
2024-04-16 02:02:52 status half-installed dpkg:amd64 1.21.1ubuntu2
2024-04-16 02:02:52 status unpacked dpkg:amd64 1.21.1ubuntu2
2024-04-16 02:02:52 install e2fsprogs:amd64 <none> 1.46.5-2ubuntu1
2024-04-16 02:02:52 status half-installed e2fsprogs:amd64 1.46.5-2ubuntu1
2024-04-16 02:02:52 status unpacked e2fsprogs:amd64 1.46.5-2ubuntu1
2024-04-16 02:02:52 install findutils:amd64 <none> 4.8.0-1ubuntu3
2024-04-16 02:02:52 status half-installed findutils:amd64 4.8.0-1ubuntu3
2024-04-16 02:02:52 status unpacked findutils:amd64 4.8.0-1ubuntu3
